text,username,location,len
Living rooms across the country are now experimental design studios - IKEA designs forts for children in lockdown https://t.co/WXjwNMvLHU,studioEASTuk,"Perthshire, Scotland",137
"RT @Daily_Record: Claims rose by 856,000 in the first month of #coronavirus lockdown 

https://t.co/KeEt5dcCne",NeilFindlay_MSP,Fauldhouse,110
"And, it is worth repeating, children do not pose any greater infection risk than other people. -Coronavirus: Irish performance midtable at best in international terms by ⁦@paulcullenit⁩
via @IrishTimes
https://t.co/82IG5UCWyf",juneshannon,Dublin,225
RT @TrailMagazine: The latest advice for hillwalkers regarding coronavirus restrictions from @Team_BMC https://t.co/hefRAcxGBf,iamandyjay,"Suffolk, UK",126
There's been a breakthrough in the race to create a COVID-19 vaccine. A US company has conducted the first successful human trial. It's provided a glimmer of hope for a world desperate to end the pandemic. https://t.co/AVvaWLotVs @AmeliaBrace #7NEWS https://t.co/AN1qUlzMED,7NewsMelbourne,"Melbourne, Victoria",273
"The company has signed deals with Swiss contract drugmaker Lonza Group AG and the US government to produce massive quantities of its vaccine.
https://t.co/RV7byI3DIJ",BT_India,India,165
This is what classrooms could look like if schools reopen next month https://t.co/PLwQ2qMzDd,YahooNewsUK,London,92
"#SADCYOUTH Coronavirus Update

The COVID19 cases continue to rise&amp;do you know the symptoms of #COVID19?
●Sore throat
●Dry cough
●Fever
●Shortness of breath
If you have these symptoms or are feeling unwell, please inform your Health authorities: Read: https://t.co/e4lycAMBR4 https://t.co/Zzx5BkT8z3",SAYoF_SADC,Southern Africa,302
"RT @lilianeden: @davidicke Hi David, this is interesting  https://t.co/KneBWyLGr5",GirlRacerSian,Somerset,81
"The latest on the coronavirus outbreak with Bobby @bobbyisawake &amp; Stacy @Livviesmomma -
✅DeWine: Bar owners could lose their liquor licenses if they don’t control their customers
✅Experimental vaccine shows encouraging results
✅Trump taking hydroxychloroquine https://t.co/rAhIv5Wmki",Sunny95News,Columbus OH,287
"RT @RealJamesWoods: And if not, CNN will do everything it can to get us there...  https://t.co/tXG0u7XFKO",CorinnaElite,USA / GERMANY,105
"@WyeLea Agreed 100% Let's face it, we are already in a situation of a severe downturn due to the Coronavirus. The remainer argument about supply chains won't matter as we are already badly affected (for now). So we may as leave as things cannot get any worse, only much better.",JohnTay20995736,"Bromsgrove, England",277
RT @EaterSouls: 72 people test positive for coronavirus after mass lockdown protest in Wisconsin https://t.co/CDzqAt6aAw,PeneCell,"Texas, USA",120
"Joining @SeneddCWLC is Nick Capaldi, Chief Executive @Arts_Wales_. Giving evidence on behalf of the sector, and discussing the support available for people and organisations working in the arts during the coronavirus crisis. https://t.co/YMPGpcgJWY",SeneddWales,"Wales, United Kingdom",248
"US #coronavirus death toll surpasses 90,000
#WamNews
https://t.co/O8RjoaMRyp https://t.co/5ykXRixOa8",WAMNEWS_ENG,UAE,100
RT @washingtonpost: Opinion: Trump is using the coronavirus as a cover to abuse his authority https://t.co/BM331nIelg,OBETTA_KENNETH1,Nigeria,117
One restaurant in New Jersey is turning back the clock and transforming into an old-style carhop from the 1950s and 60s amid the coronavirus. https://t.co/PgsO05h19D,NBCNewYork,"New York, NY",165
RT @nickybligh: What a great initiative for young actors.  https://t.co/9dNPVLgVza,RachelBActor,"Leeds, England",82
BBC News - Coronavirus: When did care homes go into lockdown? https://t.co/p71bwkfZ1W,JLP131,Mother Earth,85
